PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
30y;9m;0.027854;0.318949;-0.300000;0.526560;
30y;1y;0.025711;0.295052;-0.300000;0.456330;
30y;2y;0.044484;0.451436;-0.300000;0.447229;
30y;5y;0.067189;0.605384;-0.300000;0.438967;
30y;10y;0.061362;0.618627;-0.300000;0.315149;
3y9m;2y2m;0.355851;0.967773;-0.300000;0.001000;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005864;0.000000;-0.500000;1.274804;
2y;6m;0.007931;0.067257;-0.500000;1.204847;
2y;9m;0.047598;0.466873;-0.500000;0.974135;
2y;1y;0.061962;0.519353;-0.500000;0.001000;
2y;2y;0.273565;0.891847;-0.500000;1.279449;
2y;5y;0.049038;0.481015;-0.500000;0.076912;
2y;10y;0.244194;1.000000;-0.500000;0.396931;
5y;3m;0.226911;0.865424;-0.500000;0.824896;
5y;6m;0.387696;0.986632;-0.500000;0.764696;
5y;9m;0.407254;1.000000;-0.500000;0.710021;
5y;1y;0.407380;1.000000;-0.500000;0.611573;
5y;2y;0.385220;1.000000;-0.500000;0.560898;
5y;5y;0.291893;1.000000;-0.500000;0.436424;
5y;10y;0.237736;1.000000;-0.500000;0.446049;
10y;3m;0.255956;0.919522;-0.500000;0.805758;
10y;6m;0.323720;0.976796;-0.500000;0.800191;
10y;9m;0.271816;0.933281;-0.500000;0.736093;
10y;1y;0.201836;0.853680;-0.500000;0.630738;
10y;2y;0.204490;0.870850;-0.500000;0.537211;
10y;5y;0.271334;1.000000;-0.500000;0.485379;
10y;10y;0.256869;1.000000;-0.500000;0.453375;
15y;3m;0.045806;0.468815;-0.500000;0.718283;
15y;6m;0.089695;0.646531;-0.500000;0.675181;
15y;9m;0.130846;0.752818;-0.500000;0.616615;
15y;1y;0.153963;0.796177;-0.500000;0.578573;
15y;2y;0.217137;0.898783;-0.500000;0.572564;
15y;5y;0.275388;1.000000;-0.500000;0.503394;
15y;10y;0.222671;0.954023;-0.500000;0.408297;
30y;3m;0.056132;0.509694;-0.500000;0.734814;
30y;6m;0.099691;0.661662;-0.500000;0.696103;
30y;9m;0.117670;0.708955;-0.500000;0.651514;
30y;1y;0.096967;0.654524;-0.500000;0.577228;
30y;2y;0.171426;0.815408;-0.500000;0.564796;
30y;5y;0.297740;1.000000;-0.500000;0.552354;
30y;10y;0.241945;0.971145;-0.500000;0.416816;
3y9m;2y2m;0.355732;0.967668;-0.500000;0.001000;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.011239;0.138087;-0.700000;1.509593;
2y;6m;0.065387;0.515934;-0.700000;1.338190;
2y;9m;0.391532;0.917230;-0.700000;1.145668;
2y;1y;0.062055;0.519681;-0.700000;0.001000;
2y;2y;0.610134;1.000000;-0.700000;1.497204;
2y;5y;0.032724;0.369894;-0.700000;0.001000;
