PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;1y;0.017435;0.266192;0.000000;0.777585;
2y;2y;0.006091;0.000000;0.000000;0.976306;
2y;5y;0.043211;0.470346;0.000000;0.379986;
2y;10y;0.018762;0.272680;0.000000;0.256928;
5y;3m;0.024126;0.323404;0.000000;0.574611;
5y;6m;0.034243;0.395697;0.000000;0.517315;
5y;9m;0.033684;0.387077;0.000000;0.467975;
5y;1y;0.042367;0.439489;0.000000;0.428543;
5y;2y;0.034904;0.380038;0.000000;0.359177;
5y;5y;0.026964;0.339899;0.000000;0.311077;
5y;10y;0.013455;0.187451;0.000000;0.293068;
10y;3m;0.009726;0.053659;0.000000;0.560117;
10y;6m;0.012406;0.109785;0.000000;0.547590;
10y;9m;0.012119;0.102496;0.000000;0.492926;
10y;1y;0.012551;0.107650;0.000000;0.405120;
10y;2y;0.015431;0.162618;0.000000;0.338752;
10y;5y;0.017247;0.222301;0.000000;0.334782;
10y;10y;0.015884;0.231681;0.000000;0.280810;
15y;3m;0.008277;0.000000;0.000000;0.681085;
15y;6m;0.008511;0.000000;0.000000;0.543930;
15y;9m;0.008481;0.000000;0.000000;0.422794;
15y;1y;0.009853;0.038855;0.000000;0.369984;
15y;2y;0.012961;0.119928;0.000000;0.368305;
15y;5y;0.017297;0.240545;0.000000;0.362308;
15y;10y;0.018087;0.286174;0.000000;0.243249;
30y;3m;0.008564;0.000000;0.000000;0.663861;
30y;6m;0.008697;0.000000;0.000000;0.534713;
30y;9m;0.008647;0.000000;0.000000;0.450991;
30y;1y;0.008729;0.000000;0.000000;0.374420;
30y;2y;0.012793;0.109537;0.000000;0.347439;
30y;5y;0.016549;0.220323;0.000000;0.352484;
30y;10y;0.019211;0.306116;0.000000;0.245202;
3y9m;2y2m;0.376324;1.000000;0.000000;0.426730;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005952;0.000000;-0.300000;0.993728;
2y;6m;0.005878;0.000000;-0.300000;0.997494;
2y;9m;0.011049;0.149037;-0.300000;0.897256;
2y;1y;0.061667;0.518282;-0.300000;0.001000;
2y;2y;0.041297;0.456677;-0.300000;1.077285;
2y;5y;0.188404;0.875173;-0.300000;0.455475;
2y;10y;0.066390;0.639392;-0.300000;0.318276;
5y;3m;0.080512;0.616173;-0.300000;0.695039;
